name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	nationality	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work
Branco van den Boomen	29	185	75	R	B	CM	["CM","DM"]	Ajax	2027	Netherlands	77	69	77	75	66	66	76	65	78	65	85	83	88	85	77	81	79	83	84	70	73	81	76	77	50	80
Remko Pasveer	41	187	88	R	B	GK	["GK"]	Ajax	2025	Netherlands	31	78	81	71	62	62	74	64	58	55	61	68	67	69	34	80	44	61	49	55	72	65	49	71	77	70
Steven Berghuis	33	182	75	L	B	WF	["WF","SM","AM"]	Ajax	2025	Netherlands	83	48	74	76	71	82	82	83	84	76	85	85	85	85	85	85	82	81	87	63	66	85	82	77	50	83
Daniele Rugani	30	193	86	R	B	CBT	["CBT"]	Ajax	2025	Italy	53	83	80	71	66	66	82	63	71	62	75	70	66	58	62	68	62	62	62	82	79	74	57	73	50	77
Wout François Maria Weghorst	32	197	84	R	B	CF	["CF"]	Ajax	2026	Netherlands	84	58	91	80	71	66	84	63	78	71	81	83	62	67	80	86	78	62	62	88	89	83	84	84	50	83
Amourricho Jahvairo Déshauntino van Axel Dongen	20	175	68	R	B	WF	["WF","SM"]	Ajax	2027	Netherlands	68	38	75	71	84	85	66	81	75	78	64	63	66	65	68	68	66	61	68	61	66	76	66	64	50	67
Kian Fitz-Jim	21	174	68	R	B	CM	["CM","DM"]	Ajax	2027	Netherlands	73	68	72	71	71	79	76	83	80	75	79	72	72	66	68	68	67	64	64	61	71	80	76	70	50	73
Christian Theodor Kjelder Rasmussen	22	184	73	L	B	WF	["WF","SM","CF"]	Ajax	2027	Denmark	68	31	74	71	85	88	70	84	74	78	68	68	62	65	72	71	67	67	62	63	70	74	70	63	50	64
Gastón Luciano Ávila	23	182	78	L	B	CBT	["CBT","SB"]	Ajax	2028	Argentina	64	71	76	71	75	72	75	72	70	71	73	76	69	72	61	81	62	73	68	75	79	71	71	74	50	71
Benjamin Tahirović	21	191	77	R	B	DM	["DM","CM"]	Ajax	2028	Bosnia and Herzegovina	65	66	76	80	66	66	73	65	77	67	79	75	71	66	61	71	64	61	62	64	68	78	73	78	50	70
Dies Janse	19	196	80	L	B	CBT	["CBT"]	Ajax	2028	Netherlands	54	73	71	71	74	68	71	63	72	71	73	69	70	64	61	68	62	61	62	74	74	73	57	66	50	69
Josip Šutalo	24	185	82	R	B	CBT	["CBT"]	Ajax	2028	Croatia	57	81	83	80	83	82	85	76	78	79	78	71	68	57	61	68	65	61	62	78	89	80	64	77	50	77
Kristian Nökkvi Hlynsson	20	179	67	R	B	AM	["AM","CM","WF","SM"]	Ajax	2026	Iceland	74	49	71	80	68	73	73	75	77	71	76	73	65	66	69	72	69	66	70	66	66	78	73	69	50	71
Diant Ramaj	23	188	81	R	B	GK	["GK"]	Ajax	2028	Germany	31	78	78	71	62	62	80	65	58	55	61	69	66	71	31	84	43	61	49	55	74	65	46	71	77	72
Jaydon Amauri Banel	20	172	65	R	B	WF	["WF","SM"]	Ajax	2025	Netherlands	67	37	75	71	82	83	67	81	73	77	70	69	62	68	66	71	63	61	62	61	66	73	67	63	50	65
Jan Jakub Faberski	18	172	60	L	B	WF	["WF","SM"]	Ajax	2028	Poland	61	36	69	71	87	88	63	87	72	79	61	62	61	61	61	68	62	69	62	61	66	71	58	63	50	63
Don-Angelo Konadu	18	173	58	R	B	CF	["CF","WF","SM"]	Ajax	2028	Netherlands	67	33	74	71	78	76	67	74	68	71	62	62	58	56	73	68	62	61	62	70	66	69	67	63	50	62
Nordin Bakker	27	196	85	R	B	GK	["GK"]	Almere City	2025	Netherlands	31	73	78	71	62	62	73	62	58	55	61	64	62	64	32	68	43	61	49	55	69	65	46	63	73	64
Damil Serena Dankerlui Wadilie	28	172	64	R	B	SB	["SB"]	Almere City	2025	Suriname	68	60	74	76	86	87	71	83	70	77	69	67	66	67	61	68	61	61	68	61	71	70	71	74	50	68
Joey Jacobs	24	185	79	R	B	CBT	["CBT","SB"]	Almere City	2025	Netherlands	65	69	76	79	66	66	73	62	65	62	67	65	59	55	61	68	56	61	62	72	74	65	71	76	50	61
Ricardo Visus Contreras	23	192	85	R	B	CBT	["CBT"]	Almere City	2025	Spain	50	77	73	72	73	68	73	62	65	67	64	63	60	49	61	68	58	61	62	71	74	65	54	72	50	69
Jochem Ritmeester van de Kamp	21	177	72	R	B	SM	["SM","SB","CM","WB"]	Almere City	2027	Netherlands	71	60	66	83	80	79	72	78	74	76	75	71	67	63	61	69	62	61	62	61	67	73	72	79	50	72
Alejandro Carbonell Vallés	27	182	76	R	B	CM	["CM","DM"]	Almere City	2026	Spain	68	68	77	75	66	66	73	71	73	64	73	70	70	66	68	68	65	62	65	66	68	73	71	75	50	71
Ruben Fritzner Providence	23	178	66	R	B	WF	["WF","SM"]	Almere City	2027	France	71	36	76	76	84	88	71	86	77	80	69	69	62	67	73	71	68	61	62	66	74	77	71	67	50	67
Anas Tahiri	29	178	59	R	B	CM	["CM","DM"]	Almere City	2026	Morocco	68	61	73	78	66	76	73	80	77	66	80	76	75	73	66	72	70	73	74	61	66	78	73	71	50	67
Thomas Robinet	28	180	72	R	B	CF	["CF","AM","SS"]	Almere City	2027	France	76	44	78	84	78	73	74	75	73	74	74	72	68	69	76	71	69	61	62	70	78	74	74	73	50	70
Junior Morau Kadile	22	182	76	R	B	WF	["WF","SM","CF"]	Almere City	2027	France	67	31	70	71	84	85	64	81	76	80	72	72	68	71	63	74	69	61	66	64	74	75	64	63	50	66
Vasilios Zagaritis Βασίλειος Ζαγαρίτης	23	178	68	L	B	SB	["SB","SM","WB"]	Almere City	2026	Greece	66	65	75	81	87	80	71	79	68	77	68	65	65	65	61	68	60	61	62	63	71	67	71	72	50	63
James Alexander Lawrence	32	188	84	L	B	CBT	["CBT"]	Almere City	2026	Wales	54	74	81	71	68	66	75	63	66	65	73	68	71	63	61	68	61	61	62	74	75	71	59	71	50	73
Adi Nalić	27	190	83	R	B	AM	["AM","CF","CM","SS"]	Almere City	2026	Bosnia and Herzegovina	69	49	77	81	82	81	70	79	74	77	71	73	61	67	72	77	70	61	70	61	74	73	70	74	50	69
Kornelius Normann Hansen	23	175	70	R	B	CF	["CF","SM","WF"]	Almere City	2025	Norway	72	39	76	85	74	76	71	82	78	76	69	68	63	62	73	69	72	61	70	61	66	78	71	71	50	67
Thom Jan Marinus Haye	29	177	74	R	B	CM	["CM","DM"]	Almere City	2025	Indonesia	71	61	71	76	66	66	74	72	77	68	80	78	82	77	66	76	76	81	85	63	66	76	74	75	50	74
Hamdi Akujobi	25	175	70	R	B	SB	["SB"]	Almere City	2025	Nigeria	65	61	76	76	79	76	71	73	70	73	73	68	70	67	61	68	61	61	62	67	68	71	71	78	50	70
Baptiste Guillaume	29	190	86	R	B	CF	["CF"]	Almere City	2026	Belgium	75	42	85	76	66	67	72	74	76	66	73	72	63	67	76	73	70	61	62	75	81	76	72	68	50	68
Théo Barbet	23	184	75	L	B	CBT	["CBT"]	Almere City	2026	France	50	76	76	74	78	68	74	63	65	70	63	63	58	55	61	68	57	61	62	68	74	65	54	73	50	67
Alejandro Balboa Bandeira	23	181	74	R	B	CM	["CM","DM"]	Almere City	2026	Equatorial Guinea	69	51	71	71	66	70	71	67	72	68	72	68	64	54	69	68	64	61	62	61	66	72	71	70	50	70
Faïz Mattoir	24	164	62	R	B	WF	["WF","SM"]	Almere City	2025	Comoros	67	34	76	71	74	75	64	75	73	74	71	72	66	71	68	76	65	61	62	61	66	71	64	63	50	65
Christopher Emanuel Mamengi	23	182	78	L	B	CBT	["CBT"]	Almere City	2026	Netherlands	50	68	79	71	76	72	68	71	65	69	63	62	61	57	61	68	59	61	62	69	79	65	54	72	50	72
Stijn Keller	24	195	85	R	B	GK	["GK"]	Almere City	2025	Switzerland	31	68	75	71	62	62	67	60	58	55	61	63	61	63	32	66	43	61	49	55	66	65	36	52	68	58
Logan Delaurier-Chaubet	22	174	62	L	B	WF	["WF","SM"]	Almere City	2027	France	68	39	76	71	72	78	63	71	76	74	76	71	72	68	71	68	65	73	76	61	66	74	63	63	50	67
Tim Receveur	33	185	75	R	B	CM	["CM","DM"]	Almere City	2025	Netherlands	64	62	66	71	71	73	71	71	71	70	74	70	67	62	65	68	64	61	64	62	66	72	71	70	50	69
Jonas Wendlinger	24	192	85	R	B	GK	["GK"]	Almere City	2026	Austria	31	71	74	71	62	62	72	64	58	55	61	64	62	64	31	68	43	61	49	55	69	65	41	55	71	59
Jay Kuiper	21	183	70	L	B	SB	["SB"]	Almere City	2026	Netherlands	62	55	67	71	77	75	63	69	65	69	66	64	61	58	61	68	56	61	62	61	66	65	63	65	50	59
Joël van der Wilt	20	187	78	R	B	GK	["GK"]	Almere City	2026	Netherlands	31	68	72	71	62	62	66	58	58	55	61	62	60	62	31	66	43	61	49	55	64	65	35	51	68	56
Jaden Pinas	21	187	79	R	B	CBT	["CBT"]	Almere City	2025	Netherlands	48	65	72	71	66	69	66	63	65	63	61	62	58	52	61	68	57	61	62	66	71	65	50	65	50	58
Amoah Foa Sam	22	184	75	R	B	CBT	["CBT"]	Almere City	2025	Netherlands	47	70	66	71	66	66	65	62	65	63	61	62	58	51	61	68	53	61	62	65	66	65	48	67	50	62
Guus Beaumont	22	182	75	R	B	DM	["DM","CM"]	Almere City	2025	Netherlands	63	60	69	71	66	69	67	65	67	64	68	65	62	56	61	68	60	61	62	65	70	67	67	67	50	65
Jeffrey Puriel	22	180	74	R	B	WF	["WF","SM","CF"]	Almere City	2026	Netherlands	63	38	73	71	73	70	63	70	71	70	68	68	66	69	67	71	65	62	65	70	74	71	59	63	50	64
Emanuel Poku	19	175	70	R	B	WF	["WF","SM","CF"]	Almere City	2027	Netherlands	61	36	68	71	90	82	63	72	67	77	65	64	61	61	68	68	60	61	62	61	66	67	54	63	50	62
Marley Dors	19	170	65	R	B	WF	["WF","SM"]	Almere City	2027	Suriname	59	35	67	71	73	73	63	65	69	68	61	62	61	62	66	68	62	61	62	61	66	72	56	63	50	63
Etienne Vaessen	29	189	84	R	B	GK	["GK"]	FC Groningen	2027	Suriname	31	76	77	71	69	68	79	65	58	61	61	65	63	65	34	71	43	61	49	55	73	65	44	58	76	61
Wouter Prins	20	173	65	L	B	SB	["SB"]	FC Groningen	2027	Netherlands	63	68	71	71	77	80	71	75	68	70	67	65	64	64	61	68	61	61	62	61	66	71	67	73	50	64
Thijmen Blokzijl	19	191	75	R	B	CBT	["CBT"]	FC Groningen	2026	Netherlands	50	73	70	71	66	66	74	63	65	62	70	67	64	55	61	68	60	61	62	71	71	67	55	69	50	69
Joey Pelupessy	31	180	63	R	B	DM	["DM","CM"]	FC Groningen	2025	Netherlands	69	67	74	77	66	71	73	72	70	64	73	71	67	65	61	70	65	71	71	69	74	72	72	77	50	71
Marco Rente	27	188	84	R	B	CBT	["CBT"]	FC Groningen	2027	Germany	48	73	85	76	88	83	72	74	65	75	72	68	60	51	61	68	59	61	62	68	86	65	51	72	50	69
Stije Resink	21	179	74	R	B	CM	["CM","DM"]	FC Groningen	2028	Netherlands	66	63	70	84	68	72	72	71	73	69	76	71	67	62	61	68	65	64	65	61	66	75	72	78	50	70
Leandro Jones Johan Bacuna	33	180	77	R	B	SB	["SB","SM","WB"]	FC Groningen	2025	Curacao	69	64	81	81	81	76	70	78	72	76	73	76	73	76	67	81	71	75	79	68	82	72	68	79	50	73
Johan Hove	24	177	72	R	B	CM	["CM","AM"]	FC Groningen	2026	Norway	73	66	78	85	79	75	72	80	74	75	76	72	73	71	74	70	68	65	69	65	74	76	72	78	50	73
Brynjólfur Darri Willumsson	24	185	82	R	B	CF	["CF"]	FC Groningen	2027	Iceland	70	43	75	73	73	76	67	74	71	71	70	69	62	61	71	71	64	61	62	67	78	71	67	74	50	71
Luciano Valente	21	190	78	R	B	WF	["WF","SM","AM"]	FC Groningen	2028	Italy	71	52	68	71	70	66	71	68	78	74	73	73	65	67	66	74	64	61	68	73	69	78	71	73	50	75
Noam Fritz Emeran	22	179	67	L	B	WF	["WF","SM"]	FC Groningen	2027	France	67	41	70	71	79	82	64	82	68	73	68	65	63	66	65	68	62	69	69	61	66	67	64	63	50	66
Jorg Schreuders	20	177	70	R	B	WF	["WF","SM"]	FC Groningen	2027	Netherlands	74	65	68	76	74	70	72	65	72	72	73	70	68	68	74	68	67	61	73	61	68	73	72	72	50	68
Tika de Jonge	21	173	66	R	B	CM	["CM","SM"]	FC Groningen	2026	Netherlands	67	62	71	74	73	72	72	68	72	71	76	71	73	71	65	68	65	61	72	66	68	72	71	67	50	65
Hidde Jurjus	30	187	77	R	B	GK	["GK"]	FC Groningen	2025	Netherlands	31	73	76	71	62	62	75	63	58	55	61	64	62	64	36	68	43	61	49	55	72	65	46	66	72	62
Finn Stam	21	188	82	R	B	SB	["SB","CBT"]	FC Groningen	2025	Netherlands	63	65	74	71	66	66	71	62	65	63	71	67	66	62	61	68	55	61	62	71	74	65	68	68	50	64
Fofin Turay	20	178	68	R	B	WF	["WF","SM"]	FC Groningen	2025	Netherlands	65	32	71	71	83	81	63	76	73	77	67	65	63	62	61	68	62	61	64	61	67	73	60	64	50	63
Dirk Baron	22	190	78	R	B	GK	["GK"]	FC Groningen	2025	Netherlands	31	68	73	71	62	62	66	58	58	55	61	61	60	61	32	66	43	61	49	55	64	65	34	53	69	53
Thijs Oosting	24	176	70	L	B	CF	["CF","SM","AM","SS","WF"]	FC Groningen	2027	Netherlands	74	61	71	79	72	74	73	73	74	71	73	74	73	74	75	76	73	71	70	70	74	76	73	73	50	71
Thom van Bergen	21	180	74	R	B	CF	["CF","SM","WF"]	FC Groningen	2026	Netherlands	73	36	68	71	81	79	71	76	75	78	68	68	59	62	73	70	65	61	68	68	68	74	71	66	50	68
Rui-Jorge Monteiro Mendes	25	179	72	R	B	WF	["WF","SM"]	FC Groningen	2027	Portugal	72	38	70	76	83	82	68	79	73	77	68	72	67	74	74	78	68	61	62	61	68	73	68	67	50	65
Romano Ceciel Postema	22	175	67	R	B	CF	["CF"]	FC Groningen	2027	Netherlands	71	38	73	73	83	80	70	76	69	74	70	71	61	67	76	74	67	61	64	73	79	71	70	66	50	63
Jasper Meijster	20	188	75	R	B	GK	["GK"]	FC Groningen	2025	Netherlands	31	68	73	71	62	62	66	57	58	55	61	63	61	63	31	66	43	61	49	55	63	65	38	51	68	55
Alex Jens Kenneth Mortensen	22	175	66	R	B	CF	["CF"]	FC Groningen	2025	Sweden	64	31	69	72	78	75	63	76	65	70	61	62	58	58	68	68	59	61	62	61	66	66	61	69	50	63
Maxim Mariani	20	185	70	R	B	CBT	["CBT"]	FC Groningen	2025	Netherlands	47	68	66	71	67	68	68	62	65	64	61	62	58	52	61	68	55	61	62	68	66	65	48	66	50	62
Marvin Peersman	33	184	69	L	B	CBT	["CBT","SB"]	FC Groningen	2026	Belgium	64	70	78	80	77	73	76	72	70	73	70	68	70	69	61	68	62	61	62	68	76	69	68	81	50	68
Marco Speelman	18	170	70	L	B	SB	["SB"]	FC Groningen	2025	Netherlands	66	61	67	71	74	73	66	70	69	71	66	65	66	65	61	68	60	61	62	61	66	68	66	67	50	62
Nils Eggens	19	180	80	R	B	CF	["CF"]	FC Groningen	2026	Netherlands	69	32	68	71	73	75	67	72	67	68	68	70	59	60	73	74	64	61	64	72	76	69	67	63	50	63
Sven Bouland	18	184	80	L	B	CBT	["CBT"]	FC Groningen	2027	Netherlands	48	70	74	71	71	66	68	62	65	66	73	69	63	53	61	68	59	61	62	75	74	65	51	72	50	67
Roy Leicester	18	179	74	R	B	CBT	["CBT","DM"]	FC Groningen	2027	Netherlands	63	65	69	71	71	69	67	68	68	69	72	68	63	57	61	68	60	61	64	64	68	67	66	69	50	65
Lars Unnerstall	34	198	103	R	B	GK	["GK"]	FC Twente	2027	Germany	31	83	89	71	62	62	85	68	58	55	61	65	63	65	35	71	43	61	49	55	77	65	52	73	83	67
Mees Victor Joseph Hilgers	23	186	78	R	B	CBT	["CBT"]	FC Twente	2026	Indonesia	55	80	79	78	78	78	78	73	67	71	75	71	66	55	61	68	60	61	62	75	82	68	61	80	50	79
Gustaf Johan Lagerbielke	24	193	83	R	B	CBT	["CBT"]	FC Twente	2025	Sweden	50	74	77	71	66	66	72	62	69	63	73	69	67	55	61	68	61	61	62	77	78	71	55	69	50	70
Mathias Ullereng Kjølø	23	175	67	R	B	DM	["DM","CM"]	FC Twente	2027	Norway	72	69	71	82	66	71	77	72	74	64	80	74	72	65	66	68	64	65	62	66	70	75	75	77	50	72
Bas Edo Kuipers	30	180	73	L	B	SB	["SB"]	FC Twente	2028	Netherlands	70	72	77	83	72	73	77	76	73	71	76	72	76	74	61	69	62	66	74	67	81	73	72	80	50	68
Carel Willem Hendrik Eiting	26	178	72	L	B	CM	["CM","DM"]	FC Twente	2026	Netherlands	72	63	69	83	66	66	75	69	76	65	83	78	82	78	64	72	67	79	77	61	66	78	75	77	50	74
Mitchell van Bergen	25	170	62	R	B	WF	["WF","SM"]	FC Twente	2027	Netherlands	72	40	73	81	91	88	73	88	74	82	72	70	67	70	67	69	71	64	73	61	66	75	73	72	50	69
