name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work	overall
Ederson Santana de Moraes	31	188	86	L	B	GK	["GK"]	Manchester City	2026	31	89	86	73	68	69	90	77	60	61	74	78	76	76	38	92	46	63	49	57	87	67	61	84	88	82	88
Bernardo Mota Veiga de Carvalho e Silva	30	173	64	L	B	CM	["CM","WF","SM"]	Manchester City	2026	89	73	79	94	74	85	91	90	94	84	93	87	87	84	83	82	85	76	86	66	73	93	91	89	50	87	88
Jan Oblak	31	188	87	R	B	GK	["GK"]	Atlético Madrid	2028	31	89	86	73	62	62	90	78	60	57	63	68	68	69	36	81	43	63	49	57	83	67	56	82	90	80	88
Antonio Rüdiger	31	190	86	R	B	CBT	["CBT"]	Real Madrid	2026	69	90	92	78	92	75	89	69	79	83	88	86	81	79	63	86	69	68	62	87	90	81	74	85	50	89	88
Florian Richard Wirtz	21	177	71	R	B	AM	["AM","SM","WF"]	Bayer 04 Leverkusen	2027	88	59	77	90	84	84	90	86	92	88	93	87	89	84	84	81	85	81	85	63	69	92	90	81	50	84	88
Gregor Kobel	26	195	88	R	B	GK	["GK"]	Borussia Dortmund	2028	31	90	89	73	62	62	91	71	60	56	63	67	67	67	35	77	43	63	49	57	84	67	56	82	89	78	88
William Alain André Gabriel Saliba	23	193	85	R	B	CBT	["CBT"]	Arsenal	2027	64	91	89	79	88	80	89	70	83	83	88	76	76	65	63	68	66	63	62	84	90	86	70	83	50	88	87
Victor James Osimhen	25	186	77	R	B	CF	["CF"]	Galatasaray	2025	93	47	88	85	93	87	91	84	86	88	79	82	69	78	90	88	83	65	68	89	95	88	91	81	50	82	87
Jamal Musiala	21	184	72	R	B	AM	["AM","SM","CM"]	FC Bayern München	2026	89	66	80	83	85	88	90	91	91	90	88	85	80	77	88	83	82	70	79	68	76	88	90	77	50	82	87
Bukayo Saka	23	178	65	L	B	WF	["WF","SM"]	Arsenal	2027	89	64	79	89	86	90	90	88	91	88	88	85	84	85	88	82	86	81	87	63	75	90	90	83	50	85	87
Paulo Bruno Exequiel Dybala	31	177	75	L	B	AM	["AM","CF","SS"]	Roma	2025	87	44	82	81	79	86	88	88	92	85	88	86	85	86	88	86	91	90	90	74	80	93	88	71	50	80	87
Theo Bernard François Hernández	27	184	81	L	B	SB	["SB","SM","WB"]	Milan	2026	86	80	90	93	96	96	88	90	88	91	85	86	83	87	78	88	83	81	83	83	96	88	88	91	50	85	87
Neymar da Silva Santos Júnior	32	175	68	R	B	WF	["WF","SM","AM"]	Al Hilal	2025	83	42	76	78	85	86	82	88	94	90	88	84	85	82	85	80	86	90	88	73	74	94	82	75	50	81	87
Declan Rice	25	185	80	R	B	DM	["DM","CM"]	Arsenal	2028	82	84	84	93	79	75	89	68	87	82	88	87	87	85	73	86	76	74	85	79	85	88	88	91	50	84	87
Frenkie de Jong	27	181	74	R	B	CM	["CM","DM"]	FC Barcelona	2026	85	76	79	90	85	83	90	86	90	87	92	82	87	77	79	73	78	73	86	79	85	90	90	85	50	85	87
Mike Peterson Maignan	29	191	89	R	B	GK	["GK"]	Milan	2026	31	88	88	73	68	70	90	76	60	60	73	75	73	73	39	87	45	63	49	57	86	67	57	82	87	80	87
Bruno Miguel Borges Fernandes	30	179	69	R	B	AM	["AM","CM"]	Manchester United	2026	90	68	73	95	73	76	92	79	88	79	91	89	89	86	88	88	88	86	87	73	74	89	92	92	50	91	87
Heung-Min Son 손흥민 孙兴慜	32	183	78	R	B	CF	["CF","SM","WF"]	Tottenham Hotspur	2025	92	48	76	90	90	88	92	86	89	89	87	88	83	88	92	90	88	81	89	79	85	88	92	81	50	84	87
Marcos Aoás Corrêa	30	183	75	R	B	CBT	["CBT"]	Paris Saint Germain	2028	76	92	82	87	84	79	91	76	81	79	88	78	82	71	70	70	66	63	64	90	90	84	81	86	50	87	87
Alessandro Bastoni	25	190	75	L	B	CBT	["CBT"]	Inter	2028	62	90	85	85	81	76	90	73	84	79	85	74	83	71	63	68	67	63	69	89	90	87	68	86	50	88	87
İlkay Gündoğan	34	180	80	R	B	CM	["CM","DM"]	Manchester City	2025	89	77	79	81	66	70	89	75	91	78	90	87	85	82	87	84	85	85	88	63	72	92	89	79	50	85	87
Damián Emiliano Martínez Romero	32	195	88	R	B	GK	["GK"]	Aston Villa	2029	31	89	89	73	63	62	90	74	60	58	71	74	72	72	39	86	46	63	49	57	85	67	56	82	88	80	87
Nicolò Barella	27	175	68	R	B	CM	["CM","DM"]	Inter	2029	89	80	85	94	81	87	92	90	88	83	90	86	86	82	82	83	85	76	82	71	82	90	92	92	50	88	87
Yann Sommer	35	183	77	R	B	GK	["GK"]	Inter	2026	31	88	82	73	62	62	91	74	60	57	63	71	69	73	37	87	43	63	49	57	81	67	57	77	87	76	87
Cristiano Ronaldo dos Santos Aveiro	39	187	85	R	B	CF	["CF"]	Al Nassr	2025	91	37	82	85	83	77	90	78	86	82	84	88	81	87	90	93	87	85	82	90	95	89	90	78	50	82	86
Gabriel dos Santos Magalhães	26	190	87	L	B	CBT	["CBT"]	Arsenal	2027	63	89	88	78	79	67	88	62	72	71	84	75	70	57	63	68	63	63	62	89	88	78	70	83	50	84	86
Granit Xhaka	32	186	80	L	B	DM	["DM","CM"]	Bayer 04 Leverkusen	2028	84	80	81	87	66	66	89	62	83	68	91	91	87	86	76	91	78	83	83	76	74	87	89	90	50	87	86
Rodrygo Silva de Goes	23	174	64	R	B	WF	["WF","SM","CF"]	Real Madrid	2028	87	37	76	85	90	91	87	90	90	90	84	81	81	81	88	79	80	79	83	75	80	89	87	75	50	80	86
João Pedro Cavaco Cancelo	30	182	74	R	B	SB	["SB","SM","WB"]	Al Hilal	2027	86	80	74	90	80	88	88	85	89	84	90	86	87	86	77	83	79	77	89	79	83	90	88	86	50	85	86
Rafael Alexandre da Conceição Leão	25	188	81	R	B	WF	["WF","SM","CF"]	Milan	2028	84	33	86	81	95	95	88	91	90	92	87	84	83	85	87	83	82	71	82	79	91	90	88	76	50	80	86
Alejandro Grimaldo García	29	171	68	L	B	SM	["SM","SB","WB"]	Bayer 04 Leverkusen	2027	86	77	78	92	75	80	89	83	89	81	90	88	91	90	76	86	81	91	90	72	77	89	89	84	50	83	86
Luka Modrić	39	172	66	R	B	CM	["CM","AM","DM"]	Real Madrid	2025	84	72	79	81	74	79	88	86	90	80	92	87	90	85	79	82	85	83	87	67	72	92	88	76	50	81	86
Alexis Mac Allister	25	176	72	R	B	CM	["CM","DM"]	Liverpool	2028	86	78	79	90	72	75	88	80	88	79	90	89	87	86	84	90	84	86	85	71	76	89	88	88	50	87	86
Daniel Carvajal Ramos	32	173	73	R	B	SB	["SB"]	Real Madrid	2026	83	81	82	87	84	85	88	83	85	82	87	79	84	80	67	73	69	63	80	81	87	88	88	87	50	84	86
Masour Ousmane Dembélé	27	178	67	L	B	WF	["WF","SM","AM"]	Paris Saint Germain	2028	85	49	75	77	92	95	86	95	90	91	87	85	86	87	79	85	82	73	86	69	76	90	86	72	50	80	86
Trent John Alexander-Arnold	26	180	72	R	B	SB	["SB"]	Liverpool	2025	85	79	74	91	81	76	88	76	86	82	91	89	94	90	73	87	80	88	90	77	79	88	88	84	50	84	86
Pedro González López	22	174	60	R	B	CM	["CM","WF","SM"]	FC Barcelona	2026	86	72	84	90	79	82	90	86	90	84	90	81	83	73	79	73	75	72	82	63	77	90	90	81	50	82	86
Jonathan Glao Tah	28	195	94	R	B	CBT	["CBT"]	Bayer 04 Leverkusen	2025	59	89	93	76	88	66	87	62	72	77	83	74	67	57	63	68	63	63	62	89	88	75	66	81	50	85	86
Karim Benzema كريم بن زيما	36	185	81	R	B	CF	["CF"]	Al Ittihad	2026	90	45	84	85	80	79	88	80	89	83	89	88	82	84	90	89	87	80	85	90	86	90	88	79	50	84	86
Gleison Bremer Silva Nascimento	27	187	84	R	B	CBT	["CBT"]	Juventus	2029	68	89	90	81	88	81	87	76	73	78	81	76	68	63	63	73	62	63	62	89	95	76	73	84	50	85	86
Joshua Walter Kimmich	29	177	75	R	B	SB	["SB","DM","CM"]	FC Bayern München	2025	86	81	79	90	68	80	90	83	87	76	90	85	93	87	76	81	82	84	87	79	82	88	90	90	50	87	86
Unai Simón Mendibil	27	190	89	R	B	GK	["GK"]	Athletic Club	2029	31	88	86	72	62	62	88	70	59	55	63	68	67	69	37	81	43	63	49	56	84	66	56	73	86	70	86
Manuel Peter Neuer	38	193	93	R	B	GK	["GK"]	FC Bayern München	2025	31	88	88	73	62	62	87	71	60	55	71	77	76	75	37	91	46	63	49	57	83	67	55	81	86	80	86
Hakan Çalhanoğlu	30	178	69	R	B	DM	["DM","CM"]	Inter	2027	84	80	79	85	73	78	90	82	88	78	91	90	87	85	81	89	87	88	90	74	79	90	90	85	50	85	86
David Olatukunbo Alaba	32	180	78	L	B	CBT	["CBT","SB"]	Real Madrid	2026	83	86	81	79	82	81	90	80	84	81	90	87	85	85	71	85	79	88	79	82	88	86	90	81	50	81	85
Ronald Federico Araújo da Silva	25	188	79	R	B	CBT	["CBT","SB"]	FC Barcelona	2026	74	83	89	79	88	79	88	71	72	75	81	76	72	68	68	73	62	63	62	88	93	76	88	84	50	76	85
Julian Brandt	28	185	83	R	B	AM	["AM","SM","CM"]	Borussia Dortmund	2026	86	54	81	88	81	74	88	79	88	84	89	87	86	85	84	85	85	81	83	66	74	89	88	73	50	79	85
Éder Gabriel Militão	26	186	78	R	B	CBT	["CBT"]	Real Madrid	2028	73	89	82	88	90	84	88	79	78	82	83	74	79	71	63	68	64	63	66	89	92	79	78	88	50	84	85
Bruno Guimarães Rodrigues Moura	27	182	74	R	B	DM	["DM","CM"]	Newcastle United	2028	85	79	84	90	73	74	88	77	88	80	90	85	86	81	79	82	81	72	84	75	80	88	88	90	50	87	85
Alexander Isak	25	192	77	R	B	CF	["CF"]	Newcastle United	2028	88	43	80	83	89	85	88	84	89	89	82	82	73	79	89	85	84	73	79	83	90	89	88	76	50	80	85
N'Golo Kanté	33	168	70	R	B	DM	["DM","CM"]	Al Ittihad	2026	81	87	85	85	78	82	90	82	83	79	84	79	79	74	73	75	72	63	62	66	77	84	88	87	50	82	85
Jules Olivier Koundé	26	180	75	R	B	SB	["SB","CBT"]	FC Barcelona	2027	76	85	83	83	85	87	88	81	81	82	85	75	80	69	63	68	65	63	69	84	91	82	88	83	50	75	85
Khvicha Kvaratskhelia ხვიჩა კვარაცხელია	23	183	70	R	B	WF	["WF","SM"]	Napoli	2027	87	46	76	82	88	87	87	88	89	89	86	83	82	81	84	81	81	73	85	71	81	89	87	77	50	81	85
Vítor Machado Ferreira	24	172	64	R	B	CM	["CM","DM"]	Paris Saint Germain	2027	84	76	78	85	74	79	88	85	89	81	90	85	85	80	82	79	81	76	84	64	71	89	88	83	50	84	85
James Daniel Maddison	28	175	73	R	B	AM	["AM","CM"]	Tottenham Hotspur	2028	86	64	76	83	71	80	84	83	89	79	88	87	87	85	84	85	85	88	88	63	66	90	84	80	50	85	85
Riyad Mahrez رياض محرز	33	179	67	L	B	WF	["WF","SM"]	Al Ahli Jeddah	2027	86	48	79	83	79	85	85	89	90	85	86	85	83	84	85	85	85	84	87	67	75	91	85	72	50	78	85
Giorgi Mamardashvili გიორგი მამარდაშვილი	24	199	88	L	B	GK	["GK"]	Valencia	2025	31	88	88	72	62	62	88	71	59	55	63	66	66	66	34	76	43	63	49	56	84	66	50	63	87	65	85
Mikel Merino Zazón	28	189	83	L	B	CM	["CM","AM"]	Arsenal	2028	87	81	83	86	76	76	88	77	87	81	88	88	84	84	83	87	78	76	83	89	90	88	88	86	50	86	85
Sergej Milinković-Savić Сергеј Милинковић-Савић	29	192	95	R	B	CM	["CM","DM"]	Al Hilal	2026	86	77	91	93	71	68	85	68	89	79	86	85	84	80	85	85	83	87	84	89	90	90	85	89	50	86	85
Ikoma Loïs Openda	24	177	75	R	B	CF	["CF"]	RB Leipzig	2028	88	37	85	83	94	95	87	90	85	88	81	83	73	80	89	87	82	65	71	83	94	86	87	82	50	81	85
João Maria Lobo Alves Palhinha Gonçalves	29	190	83	R	B	DM	["DM","CM"]	FC Bayern München	2028	79	83	91	89	66	66	88	62	83	69	83	83	77	75	74	84	72	63	71	85	86	84	83	91	50	83	85
Cole Jermaine Palmer	22	185	76	L	B	AM	["AM","SM","WF"]	Chelsea	2033	89	54	75	84	81	79	90	82	90	85	89	86	86	84	89	85	82	85	88	72	76	90	90	78	50	84	85
Andrew Henry Robertson	30	178	64	L	B	SB	["SB"]	Liverpool	2026	84	81	75	91	81	82	87	80	84	81	85	82	85	84	66	79	71	78	85	75	79	85	87	89	50	85	85
Leroy Aziz Sané	28	183	80	L	B	WF	["WF","SM"]	FC Bayern München	2025	86	43	78	83	92	90	87	90	89	90	86	87	82	86	87	89	86	85	85	73	76	88	87	79	50	82	85
Nico Cedric Schlotterbeck	24	191	86	L	B	CBT	["CBT"]	Borussia Dortmund	2027	69	88	86	80	79	81	86	77	79	79	83	80	76	69	63	79	70	63	62	88	92	78	75	83	50	84	85
John Stones	30	188	76	R	B	CBT	["CBT","DM","SB"]	Manchester City	2026	75	84	80	80	74	73	89	73	85	78	88	80	78	71	66	73	70	63	68	87	86	86	89	82	50	78	85
Aurélien Djani Tchouameni	24	188	82	R	B	DM	["DM","CM","CBT"]	Real Madrid	2028	82	82	85	86	76	78	87	77	84	79	88	84	81	77	73	81	73	65	79	81	86	85	85	85	50	83	85
Diogo José Teixeira da Silva	27	178	70	R	B	CF	["CF","WF","SM"]	Liverpool	2027	90	59	84	84	83	87	90	88	87	84	82	84	79	82	88	88	83	68	80	88	92	88	90	86	50	87	85
Sandro Tonali	24	181	79	R	B	DM	["DM","CM"]	Newcastle United	2028	83	82	85	85	88	84	88	84	86	85	88	86	85	83	77	85	82	85	79	78	86	88	87	86	50	84	85
Oliver George Arthur Watkins	28	180	70	R	B	CF	["CF"]	Aston Villa	2028	89	52	85	90	90	84	88	83	84	87	83	84	74	79	88	86	81	72	78	87	93	83	88	85	50	84	85
Nicholas Williams Arthuer	22	181	67	R	B	WF	["WF","SM"]	Athletic Club	2027	83	42	76	85	94	95	84	94	89	92	85	83	79	83	82	81	77	78	81	73	81	88	84	76	50	78	85
Francesco Acerbi	36	192	88	L	B	CBT	["CBT"]	Inter	2025	56	90	87	76	66	67	87	62	76	68	81	79	71	61	63	79	66	67	64	87	88	78	59	80	50	86	84
Manuel Obafemi Akanji	29	187	91	R	B	CBT	["CBT"]	Manchester City	2027	60	88	88	78	83	79	88	75	82	81	86	82	75	70	63	79	65	69	62	83	91	83	67	82	50	86	84
Nathan Benjamin Aké	29	180	75	L	B	CBT	["CBT","SB"]	Manchester City	2027	71	83	81	78	79	80	87	76	81	78	85	76	76	69	63	69	68	69	69	85	90	83	87	81	50	75	84
Julián Álvarez	24	170	71	R	B	CF	["CF","AM","SS"]	Atlético Madrid	2030	87	62	82	88	87	88	88	88	87	86	84	86	82	85	87	90	85	84	89	78	85	88	88	88	50	87	84
Iago Aspas Juncal	37	176	67	L	B	CF	["CF"]	Celta de Vigo	2025	89	42	71	76	85	81	88	84	89	87	83	83	82	84	91	85	86	86	82	82	83	89	88	75	50	83	84
Yassine Bounou ياسين بونو	33	195	78	L	B	GK	["GK"]	Al Hilal	2026	31	85	85	72	62	62	88	69	59	55	63	68	67	69	37	80	43	63	49	56	79	66	53	76	85	74	84
Federico Chiesa	27	175	70	R	B	WF	["WF","SM","CF"]	Liverpool	2028	87	56	80	87	94	93	87	92	88	91	83	85	81	83	87	88	86	71	81	65	79	86	87	83	50	83	84
Kingsley Junior Coman	28	181	75	R	B	WF	["WF","SM"]	FC Bayern München	2027	85	38	79	76	89	93	87	93	89	89	84	84	82	84	80	85	82	77	85	71	82	89	87	67	50	77	84
Rúben Diogo da Silva Neves	27	180	83	R	B	DM	["DM","CM"]	Al Hilal	2026	76	80	78	86	66	66	87	68	83	71	90	89	89	88	74	88	85	85	87	68	73	87	87	84	50	81	84
Matthijs de Ligt	25	189	89	R	B	CBT	["CBT"]	Manchester United	2029	63	88	92	73	73	66	87	62	76	71	82	83	73	73	63	86	71	66	62	88	88	78	69	80	50	87	84
Rodrigo Javier de Paul	30	180	70	R	B	CM	["CM"]	Atlético Madrid	2026	83	77	81	93	79	80	85	81	85	81	87	85	84	82	81	83	81	81	86	68	80	86	85	90	50	86	84
Raphael Dias Belloli	27	176	68	L	B	WF	["WF","SM"]	FC Barcelona	2027	87	56	76	88	92	91	87	90	89	90	85	85	83	85	84	85	82	83	84	80	85	88	87	85	50	85	84
Luis Fernando Díaz Marulanda	27	180	73	R	B	WF	["WF","SM"]	Liverpool	2027	87	47	77	89	91	92	86	91	90	91	82	84	80	83	85	87	85	68	80	74	84	89	86	85	50	83	84
Federico Dimarco	27	175	76	L	B	SB	["SB","SM","WB"]	Inter	2027	86	79	84	88	81	85	86	86	87	82	88	85	87	86	80	84	85	85	90	73	85	88	86	86	50	85	84
Artem Dovbyk Довбик Артем Олександрович	27	189	78	L	B	CF	["CF"]	Roma	2029	86	40	88	81	88	84	84	81	84	86	84	87	69	73	90	90	78	68	68	88	96	83	84	80	50	82	84
Jeremie Agyekum Frimpong	23	172	65	R	B	SM	["SM","SB","WB"]	Bayer 04 Leverkusen	2028	85	78	79	88	92	96	87	93	87	90	83	74	79	76	74	68	68	63	80	64	77	87	87	85	50	82	84
Aleix García Serrano	27	173	68	R	B	CM	["CM","DM"]	Bayer 04 Leverkusen	2029	85	79	79	83	71	73	85	76	88	79	88	85	88	83	82	81	81	84	86	63	70	89	85	78	50	82	84
Jack Peter Grealish	29	180	81	R	B	WF	["WF","SM"]	Manchester City	2027	84	61	81	86	79	81	85	84	90	84	86	82	85	82	81	79	83	80	85	63	74	90	85	80	50	81	84
Serhou Yadaly Guirassy	28	187	82	R	B	CF	["CF"]	Borussia Dortmund	2028	90	45	87	79	75	72	88	72	85	79	85	86	71	76	90	89	85	75	76	86	89	87	88	80	50	85	84
Viktor Einar Gyökeres	26	189	94	R	B	CF	["CF","WF","SM"]	Sporting CP	2028	87	42	92	93	93	90	88	87	85	88	81	84	72	81	90	89	81	73	74	85	96	85	88	91	50	86	84
Achraf Hakimi Mouh أشرف حكيمي	26	181	73	R	B	SB	["SB"]	Paris Saint Germain	2026	84	76	78	93	94	90	85	87	84	88	85	85	83	85	81	85	80	84	80	76	85	85	85	87	50	82	84
Lukáš Hrádecký	35	192	85	R	B	GK	["GK"]	Bayer 04 Leverkusen	2026	31	87	81	72	62	62	88	70	59	55	63	66	65	66	35	74	43	63	49	56	80	66	54	72	86	71	84
Kalidou Koulibaly	33	186	93	R	B	CBT	["CBT"]	Al Hilal	2026	66	88	91	80	89	71	87	64	78	82	78	74	69	65	63	72	64	63	62	85	85	78	72	83	50	86	84
Sadio Mané	32	174	69	R	B	WF	["WF","SM","CF"]	Al Nassr	2027	87	49	84	83	85	85	88	86	88	86	86	86	80	84	85	87	82	76	80	83	88	88	88	82	50	84	84
Lisandro Martínez	26	178	77	L	B	CBT	["CBT"]	Manchester United	2027	71	89	83	81	73	78	88	79	83	76	86	81	83	78	64	77	72	66	80	81	91	85	77	87	50	91	84
Diogo Meireles da Costa	25	187	84	R	B	GK	["GK"]	Porto	2027	31	86	81	72	62	62	88	69	59	55	63	70	70	71	31	85	43	63	49	56	79	66	58	72	84	75	84
Ferland Sinna Mendy	29	180	73	L	B	SB	["SB"]	Real Madrid	2025	83	79	86	90	90	90	84	86	81	85	84	78	82	76	72	74	68	63	76	78	91	81	84	88	50	82	84
Christopher Alan Nkunku	27	177	68	R	B	AM	["AM","CF","SS"]	Chelsea	2029	86	65	83	81	84	85	85	87	89	86	86	84	84	83	87	83	81	84	85	73	81	88	85	75	50	81	84
Daniel Olmo Carvajal	26	179	72	R	B	AM	["AM","CM"]	FC Barcelona	2030	87	55	77	74	74	81	88	85	89	82	89	85	84	82	84	82	85	81	79	63	66	89	88	69	50	79	84
Exequiel Alejandro Palacios	26	178	69	R	B	CM	["CM","DM"]	Bayer 04 Leverkusen	2028	85	81	77	83	73	75	88	78	86	79	88	85	82	79	79	84	79	66	77	75	77	86	87	85	50	85	84
Benjamin Pavard	28	186	81	R	B	CBT	["CBT","SB"]	Inter	2028	80	84	83	87	79	78	88	76	81	78	84	83	82	81	70	83	80	63	72	87	90	83	88	85	50	78	84
Alejandro Remiro Gargallo	29	192	79	R	B	GK	["GK"]	Real Sociedad	2027	31	88	86	72	62	62	88	80	59	55	63	69	67	70	36	83	43	63	49	56	82	66	53	75	85	67	84
Cristian Gabriel Romero	26	185	79	R	B	CBT	["CBT"]	Tottenham Hotspur	2027	63	88	85	78	73	72	88	72	73	69	82	73	68	56	63	68	63	63	62	85	88	76	69	84	50	88	84
Marcel Sabitzer	30	178	76	R	B	CM	["CM","AM","DM"]	Borussia Dortmund	2027	88	77	80	88	78	81	88	81	86	81	87	88	84	85	85	90	87	83	80	70	76	87	88	85	50	85	84
Carlos Henrique Casimiro	32	185	84	R	B	DM	["DM","CM"]	Manchester United	2026	80	80	86	79	66	66	85	62	79	65	85	84	80	79	76	85	81	77	79	84	79	82	83	85	50	84	84
Guglielmo Vicario	28	194	76	R	B	GK	["GK"]	Tottenham Hotspur	2028	31	87	82	72	62	62	89	74	59	55	68	71	70	70	31	82	46	63	49	56	81	66	55	79	85	78	84
Dušan Vlahović Душан Влаховић	24	190	75	L	B	CF	["CF"]	Juventus	2026	89	32	89	83	83	81	88	77	85	83	81	82	69	75	88	86	85	90	82	86	93	87	88	83	50	83	84
Kyle Andrew Walker	34	183	83	R	B	SB	["SB"]	Manchester City	2026	79	78	83	85	94	86	87	79	83	88	84	86	83	85	63	89	73	78	79	78	89	84	87	86	50	80	84
Benjamin William White	27	185	77	R	B	SB	["SB"]	Arsenal	2028	75	82	81	86	79	74	87	74	84	80	87	76	84	71	63	68	67	63	69	83	85	86	87	85	50	78	84
Marcos Javier Acuña	33	172	69	L	B	SB	["SB","SM","WB"]	River Plate	2027	85	78	88	88	77	80	86	82	87	82	85	85	85	86	73	85	80	81	90	73	85	87	86	87	50	85	83
Robert Andrich	30	186	85	R	B	DM	["DM","CM","CBT"]	Bayer 04 Leverkusen	2028	79	84	86	82	66	66	87	67	81	68	84	85	80	81	80	86	80	81	83	80	83	81	86	87	50	82	83
Ismaël Bennacer اسماعيل بن ناصر	26	175	70	L	B	DM	["DM","CM","AM"]	Milan	2027	82	80	82	83	78	84	86	86	87	82	88	87	84	84	75	87	78	81	82	71	80	88	86	85	50	84	83
Domenico Berardi	30	183	72	L	B	WF	["WF","SM"]	Sassuolo	2027	87	46	77	81	82	83	87	88	87	84	84	83	81	81	86	83	83	81	82	71	77	87	87	84	50	86	83
Eduardo Celmi Camavinga	22	182	68	L	B	CM	["CM","DM","SB"]	Real Madrid	2029	81	78	83	87	83	84	85	84	88	85	88	82	84	79	73	77	76	69	76	73	85	88	85	85	50	83	83
