name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work
Unai Núñez Gestoso	27	186	81	R	B	CBT	["CBT"]	Athletic Club	2025	53	80	85	74	77	70	83	64	65	69	79	72	61	53	61	68	62	61	62	80	87	73	58	77	50	75
Iñigo Lekue Martínez	31	180	70	R	B	SB	["SB"]	Athletic Club	2025	77	75	78	85	84	85	79	82	78	80	78	73	75	73	71	68	68	66	75	69	82	79	79	82	50	76
Iñigo Ruiz de Galarreta Etxeberria	31	175	69	R	B	DM	["DM","CM"]	Athletic Club	2025	80	79	82	85	73	80	82	84	82	76	83	80	81	77	68	77	75	70	77	62	75	83	82	85	50	81
Yuri Berchiche Izeta	34	181	80	L	B	SB	["SB"]	Athletic Club	2025	75	77	85	85	81	84	83	81	79	79	81	82	79	82	70	85	76	66	83	78	90	81	83	86	50	78
Óscar de Marcos Arana	35	182	78	R	B	SB	["SB"]	Athletic Club	2025	79	79	79	85	82	82	82	80	80	79	81	79	80	80	72	77	69	64	83	70	81	83	82	85	50	80
Javier Martón Ansó	25	183	72	R	B	CF	["CF"]	Athletic Club	2026	71	31	68	71	66	68	68	63	73	65	70	71	58	63	77	75	71	61	62	73	73	73	68	63	50	65
Unai Gómez Etxebarria	21	183	74	L	B	AM	["AM","CM","SM"]	Athletic Club	2028	76	43	73	71	72	71	77	75	78	74	78	75	72	69	74	73	69	61	68	73	75	79	77	69	50	73
Ander Herrera Agüera	35	182	71	R	B	CM	["CM","DM"]	Athletic Club	2025	82	80	77	83	66	70	85	73	83	71	83	81	83	79	76	79	78	73	82	72	74	84	83	84	50	83
Nicolás Serrano Galdeano	21	176	72	L	B	WF	["WF","SM"]	Athletic Club	2026	67	32	76	76	84	85	70	86	80	82	76	71	71	70	76	68	69	68	68	61	66	80	70	67	50	64
Mikel Jauregizar Alboniga	21	177	74	R	B	CM	["CM","DM"]	Athletic Club	2027	72	66	74	79	69	66	73	69	74	69	74	72	68	64	68	71	69	71	62	61	66	76	73	76	50	73
Beñat Prados Díaz	23	180	72	R	B	DM	["DM","CM","CBT"]	Athletic Club	2025	75	77	81	84	71	78	81	80	78	73	81	77	76	72	69	74	69	61	66	74	81	81	81	83	50	78
Alejandro Padilla Pérez	21	190	80	R	B	GK	["GK"]	Athletic Club	2027	31	74	76	71	62	62	76	63	58	55	61	64	62	64	30	68	43	61	49	55	71	65	39	51	74	54
Adama Boiro Boiro	22	183	76	L	B	SB	["SB","SM","WB"]	Athletic Club	2029	65	63	77	71	78	75	69	71	69	73	66	64	68	64	61	68	60	61	66	67	78	68	68	68	50	64
Oier Gastesi Serrano	21	190	76	R	B	GK	["GK"]	Athletic Club	2026	31	69	75	71	62	62	62	56	58	55	61	61	59	61	31	66	43	61	49	55	61	65	32	51	68	54
Juan Agustín Musso	30	191	93	R	B	GK	["GK"]	Atlético Madrid	2025	31	83	83	71	62	62	84	68	58	55	61	67	64	67	39	77	43	61	49	55	79	65	53	74	81	70
José María Giménez de Vargas	29	185	77	R	B	CBT	["CBT"]	Atlético Madrid	2025	55	89	87	78	77	74	87	71	72	69	81	78	69	66	63	77	63	63	62	85	90	77	59	83	50	85
César Azpilicueta Tanco	35	178	77	R	B	CBT	["CBT","SB"]	Atlético Madrid	2025	76	81	76	78	66	69	86	71	78	67	83	77	82	77	63	73	68	68	73	83	83	81	86	82	50	79
Conor Gallagher	24	182	74	R	B	CM	["CM","AM","DM"]	Atlético Madrid	2029	84	80	80	94	81	76	85	76	84	81	86	85	81	79	79	84	79	79	77	70	79	85	84	92	50	85
Rodrigo Javier de Paul	30	180	70	R	B	CM	["CM"]	Atlético Madrid	2026	83	77	81	93	79	80	85	81	85	81	87	85	84	82	81	83	81	81	86	68	80	86	85	90	50	86
Jorge Resurrección Merodio	32	176	77	R	B	DM	["DM","CM"]	Atlético Madrid	2025	83	79	81	88	73	74	85	74	84	76	88	86	87	86	76	85	76	82	86	71	78	87	85	85	50	84
Antoine Griezmann	33	176	73	L	B	CF	["CF"]	Atlético Madrid	2026	92	56	82	89	83	84	92	87	92	86	91	89	88	86	92	87	90	88	90	88	89	93	92	85	50	88
Pablo Barrios Rivas	21	181	75	R	B	CM	["CM","DM"]	Atlético Madrid	2028	77	70	73	73	82	84	81	82	82	82	83	79	74	70	75	76	73	61	66	66	78	82	78	72	50	76
Alexander Sørloth	28	195	90	L	B	CF	["CF"]	Atlético Madrid	2028	86	42	91	87	85	78	85	71	83	82	81	82	72	78	88	85	80	70	78	85	93	85	85	83	50	82
Ángel Martín Correa Martínez	29	171	68	R	B	CF	["CF","SM","WF"]	Atlético Madrid	2026	87	52	82	85	87	88	87	90	88	88	84	84	79	82	86	85	86	74	85	78	85	88	87	85	50	86
Thomas Lemar	29	171	66	L	B	CM	["CM","SM"]	Atlético Madrid	2027	84	65	77	82	80	87	83	89	86	83	85	83	84	83	81	82	82	85	87	66	74	85	83	77	50	80
Samuel Dias Lino	24	178	69	R	B	WF	["WF","SM"]	Atlético Madrid	2027	81	57	75	88	85	87	81	87	84	85	81	79	78	78	78	79	74	66	74	68	78	83	81	78	50	76
Jan Oblak	31	188	87	R	B	GK	["GK"]	Atlético Madrid	2028	31	89	86	73	62	62	90	78	60	57	63	68	68	69	36	81	43	63	49	57	83	67	56	82	90	80
Marcos Llorente Moreno	29	184	74	R	B	SM	["SM","SB","CM","WB"]	Atlético Madrid	2027	84	80	80	92	92	89	86	87	84	88	85	85	83	83	84	86	79	72	81	75	86	84	85	88	50	84
Clément Nicolas Laurent Lenglet	29	186	81	L	B	CBT	["CBT"]	Atlético Madrid	2025	65	82	79	77	66	66	82	66	73	62	84	75	73	63	62	68	64	62	65	81	81	78	71	77	50	79
Nahuel Molina Lucero	26	175	70	R	B	SB	["SB"]	Atlético Madrid	2027	82	79	73	88	87	86	84	85	83	84	84	79	80	79	75	74	74	63	73	73	79	84	82	84	50	81
Rodrigo Riquelme Reche	24	174	68	R	B	WF	["WF","SM"]	Atlético Madrid	2028	80	55	75	75	80	83	79	84	83	82	81	80	78	79	81	79	78	66	77	62	69	82	79	71	50	76
Julián Álvarez	24	170	71	R	B	CF	["CF","AM","SS"]	Atlético Madrid	2030	87	62	82	88	87	88	88	88	87	86	84	86	82	85	87	90	85	84	89	78	85	88	88	88	50	87
Axel Laurent Angel Lambert Witsel	35	186	81	R	B	CBT	["CBT"]	Atlético Madrid	2025	74	87	83	76	66	66	86	67	82	68	87	78	79	71	71	69	75	73	75	85	79	84	79	77	50	83
Javier Galán Gil	30	172	70	L	B	SB	["SB","SM","WB"]	Atlético Madrid	2026	75	78	74	81	80	83	80	81	82	82	82	79	81	79	61	76	68	76	76	78	83	82	80	82	50	75
Giuliano Simeone Baldini	21	173	75	R	B	CF	["CF"]	Atlético Madrid	2028	79	31	84	81	87	86	77	85	76	81	74	74	63	70	78	74	71	61	62	75	89	77	77	81	50	77
Reinildo Isnard Mandava	30	180	73	L	B	SB	["SB","CBT"]	Atlético Madrid	2025	78	78	79	86	87	85	82	82	81	82	81	73	75	72	68	68	66	63	73	82	90	81	82	85	50	78
Robin Le Normand	28	187	80	R	B	CBT	["CBT"]	Atlético Madrid	2029	56	87	88	77	74	73	86	67	73	68	85	75	69	53	63	68	64	63	62	88	90	80	59	79	50	80
Ilias Kostis Ηλίας Κωστής	21	192	83	L	B	CBT	["CBT","SB"]	Atlético Madrid	2027	65	69	85	71	67	66	74	62	65	64	68	65	61	56	61	68	60	61	62	74	80	67	73	71	50	61
Aitor Gismera Monge	20	182	76	R	B	CM	["CM"]	Atlético Madrid	2026	62	54	67	71	66	69	65	65	65	63	71	67	61	56	61	68	61	61	62	61	66	69	65	66	50	65
Javier Serrano Martínez	21	178	73	R	B	DM	["DM","CM","CBT"]	Atlético Madrid	2025	68	64	75	72	70	78	72	71	70	68	71	67	65	59	66	68	63	61	62	63	72	71	68	74	50	71
Antonio Gomis Alemañ	21	186	80	L	B	GK	["GK"]	Atlético Madrid	2025	31	73	75	71	62	62	76	64	58	55	61	64	62	64	32	69	43	61	49	55	71	65	45	61	73	62
Gerónimo Spina	19	187	76	R	B	CBT	["CBT"]	Atlético Madrid	2027	48	66	66	71	66	66	68	65	68	64	71	68	63	49	61	68	61	61	62	74	72	71	49	66	50	63
Iván Villar Martínez	27	186	76	R	B	GK	["GK"]	Celta de Vigo	2027	31	78	77	71	62	62	80	65	58	55	61	66	64	66	34	75	43	61	49	55	73	65	51	68	77	66
Carl Anders Theodor Starfelt	29	187	80	R	B	CBT	["CBT"]	Celta de Vigo	2027	52	78	79	79	81	75	78	74	74	77	77	71	65	50	61	68	63	61	62	78	85	75	58	80	50	77
Óscar Mingueza García	25	184	75	R	B	SB	["SB","CBT","SM","WB"]	Celta de Vigo	2026	73	74	77	83	85	79	78	78	77	79	81	79	78	77	61	76	70	74	76	78	85	79	76	80	50	74
Sergio Carreira Vilariño	24	170	65	R	B	SB	["SB","SM","WB"]	Celta de Vigo	2025	66	67	72	73	68	72	76	71	71	67	75	70	68	68	61	68	62	61	62	72	66	74	76	68	50	63
Moriba Kourouma Kourouma	21	185	73	R	B	CM	["CM","AM"]	Celta de Vigo	2025	74	66	67	77	74	72	76	72	80	77	78	77	67	63	78	77	70	61	62	72	74	79	76	74	50	73
Borja Iglesias Quintas	31	187	86	R	B	CF	["CF"]	Celta de Vigo	2025	84	46	86	73	68	67	83	65	81	74	81	82	67	71	83	85	79	73	62	83	87	83	83	74	50	80
Francisco José Beltrán Peinado	25	165	64	R	B	DM	["DM","CM"]	Celta de Vigo	2026	73	78	75	73	66	67	79	74	79	70	85	76	80	71	63	68	69	65	62	68	71	80	78	74	50	76
Anastasios Douvikas Αναστάσιος Δουβίκας	25	186	76	R	B	CF	["CF"]	Celta de Vigo	2028	79	38	78	83	82	85	76	82	78	79	75	76	69	72	79	78	73	61	65	75	85	78	76	75	50	72
Iago Aspas Juncal	37	176	67	L	B	CF	["CF"]	Celta de Vigo	2025	89	42	71	76	85	81	88	84	89	87	83	83	82	84	91	85	86	86	82	82	83	89	88	75	50	83
Franco Emanuel Cervi	30	166	62	L	B	WF	["WF","SM"]	Celta de Vigo	2026	79	60	79	81	90	90	77	92	79	84	79	76	75	74	76	73	70	80	81	61	66	80	77	79	50	77
Alfonso González Martínez	25	172	63	R	B	WF	["WF","SM","CF"]	Celta de Vigo	2025	68	42	74	71	80	78	68	76	73	77	69	66	68	66	73	68	67	61	62	67	72	71	68	65	50	67
Vicente Guaita Panadero	37	190	80	R	B	GK	["GK"]	Celta de Vigo	2025	31	82	80	71	62	62	82	75	58	56	62	68	66	69	34	81	43	62	49	56	78	66	52	75	82	72
Luca Daniel de la Torre	26	177	63	R	B	CM	["CM","SM"]	Celta de Vigo	2026	75	67	75	89	66	76	73	78	78	70	79	72	78	70	72	68	66	68	71	61	66	78	73	77	50	72
Joseph Aidoo	29	181	80	R	B	CBT	["CBT"]	Celta de Vigo	2026	52	79	92	83	82	74	83	73	65	72	77	71	60	53	61	68	60	61	62	81	90	67	57	85	50	79
Jaílson Marques Siqueira	29	187	75	R	B	CBT	["CBT","DM","CM"]	Celta de Vigo	2025	69	72	79	80	73	77	72	74	72	71	76	73	66	65	61	72	62	61	62	72	83	73	71	79	50	71
Jonathan Bamba	28	175	70	R	B	SM	["SM","CM","WF"]	Celta de Vigo	2026	79	43	76	81	85	86	80	85	83	84	79	80	77	80	76	82	77	74	79	70	79	82	80	76	50	76
Pablo Durán Fernández	23	176	74	R	B	CF	["CF"]	Celta de Vigo	2027	66	43	72	71	76	74	69	69	66	69	68	66	62	58	70	68	62	61	62	68	73	68	69	65	50	62
Williot Theo Swedberg	20	185	75	R	B	WF	["WF","SM","CM"]	Celta de Vigo	2027	74	61	67	81	73	78	74	82	77	74	78	73	71	67	77	69	71	62	68	68	71	78	74	73	50	72
Marcos Alonso Mendoza	33	188	84	L	B	SB	["SB","CBT","SM","WB"]	Celta de Vigo	2025	81	76	75	80	66	66	82	68	82	68	85	85	83	85	76	85	80	85	86	83	80	83	82	80	50	80
Mihailo Ristić	29	180	73	L	B	SB	["SB"]	Celta de Vigo	2026	74	69	71	81	78	79	75	76	79	78	76	80	74	82	67	86	69	61	68	71	79	79	75	75	50	70
Javier Manquillo Gaitán	30	178	76	R	B	SB	["SB","SM","WB"]	Celta de Vigo	2025	73	75	69	71	68	69	78	70	78	72	76	74	74	76	61	74	64	61	76	71	72	78	72	71	50	67
Tadeo Allende	25	183	78	R	B	WF	["WF","SM","CF"]	Celta de Vigo	2028	75	41	79	83	85	80	72	75	77	80	74	80	72	78	75	87	77	65	62	76	85	78	72	75	50	72
Carlos Domínguez Cáceres	23	187	71	L	B	CBT	["CBT"]	Celta de Vigo	2026	56	76	68	71	74	68	76	63	65	68	75	70	62	60	61	68	62	61	62	77	77	74	61	72	50	70
Damián Rodríguez Sousa	21	180	75	L	B	CM	["CM","DM"]	Celta de Vigo	2028	70	67	68	77	74	69	70	70	71	70	77	74	71	68	61	72	62	66	62	65	67	74	70	76	50	72
Marc Vicente Vidal Girona	24	185	75	R	B	GK	["GK"]	Celta de Vigo	2028	31	69	72	71	62	62	70	61	58	55	61	65	63	65	29	71	43	61	49	55	68	65	40	55	71	59
César Fernández Gonzalez	20	181	74	R	B	GK	["GK"]	Celta de Vigo	2025	31	68	70	71	62	62	66	57	58	55	61	62	61	62	31	66	43	61	49	55	62	65	37	55	68	55
Hugo Álvarez Antúnez	21	176	72	R	B	WF	["WF","SM","AM"]	Celta de Vigo	2025	70	54	66	71	71	72	72	71	74	72	76	71	72	68	68	68	65	61	62	61	66	74	72	63	50	68
Javier Rodríguez Galiano	21	180	73	R	B	SB	["SB","CBT"]	Celta de Vigo	2028	63	64	68	71	66	68	66	64	69	65	67	65	65	65	61	68	61	61	62	66	67	71	66	67	50	62
Hugo Sotelo Gómez	20	180	75	R	B	CM	["CM","SM"]	Celta de Vigo	2028	74	59	66	71	70	71	77	68	73	71	68	66	67	62	71	68	65	61	62	61	66	72	77	67	50	70
Yoel Lago Amil	20	185	76	R	B	CBT	["CBT"]	Celta de Vigo	2027	47	65	66	71	68	67	63	62	65	65	65	64	58	51	61	68	56	61	62	68	68	65	46	63	50	59
Antonio Sivera Salvá	28	185	79	R	B	GK	["GK"]	Deportivo Alavés	2027	31	79	78	71	62	64	81	73	58	57	61	68	65	69	36	80	43	61	49	55	77	65	51	69	79	66
Manuel Sánchez de la Peña	24	171	66	L	B	SB	["SB","SM","WB"]	Deportivo Alavés	2025	68	72	71	78	74	79	78	76	75	73	76	71	69	67	61	68	63	61	62	70	73	76	73	75	50	68
Aleksandar Sedlar	32	180	79	R	B	CBT	["CBT","DM"]	Deportivo Alavés	2025	67	75	83	78	66	66	79	70	65	60	74	69	62	52	61	68	61	61	62	75	77	70	79	79	50	68
Abdelkabir Abqar عبد الكبير أبقار	25	188	80	R	B	CBT	["CBT"]	Deportivo Alavés	2025	52	79	77	72	66	66	78	62	66	64	76	70	61	53	61	68	63	61	62	78	76	76	55	73	50	69
Ander Guevara Lajo	27	180	73	R	B	CM	["CM","DM"]	Deportivo Alavés	2027	75	75	72	82	66	66	80	69	77	65	81	74	74	64	75	68	70	68	67	64	66	80	80	78	50	75
Carlos Vicente Robles	25	179	69	R	B	WF	["WF","SM"]	Deportivo Alavés	2027	75	37	72	78	83	85	76	75	79	81	77	75	76	76	77	74	72	63	69	64	74	80	76	68	50	71
Antonio Blanco Conde	24	176	68	R	B	DM	["DM","CM"]	Deportivo Alavés	2027	74	72	66	78	66	66	78	66	75	64	80	73	69	58	66	68	68	72	62	61	66	78	76	77	50	77
Asier Villalibre Molina	27	184	87	L	B	CF	["CF"]	Deportivo Alavés	2028	73	46	93	76	78	77	71	76	76	76	74	79	58	70	79	86	74	61	66	79	92	77	71	74	50	70
Tomás José Conechny	26	176	65	L	B	WF	["WF","SM","CF"]	Deportivo Alavés	2028	74	37	76	80	91	91	72	91	80	86	74	74	73	74	79	76	76	61	62	81	94	79	72	74	50	72
Antonio Martínez López	27	187	84	R	B	CF	["CF"]	Deportivo Alavés	2028	80	31	85	78	73	72	80	72	78	75	75	78	62	70	81	83	77	61	62	78	85	78	80	77	50	76
Álvaro Santiago Mouriño González	22	183	76	R	B	CBT	["CBT","SB"]	Deportivo Alavés	2029	65	70	83	76	75	71	73	71	65	68	69	66	59	54	61	68	57	61	62	76	85	65	73	78	50	69
Jesús Lázaro Owono Ngua Akeng	23	181	75	R	B	GK	["GK"]	Deportivo Alavés	2026	31	72	72	71	62	62	72	63	58	55	61	64	62	64	32	70	43	61	49	55	70	65	43	60	73	62
Facundo Nahuel Tenaglia	28	181	70	R	B	SB	["SB","CBT"]	Deportivo Alavés	2027	73	75	80	83	75	75	79	76	76	76	76	70	72	67	61	68	63	61	62	78	85	75	78	83	50	76
Carlos Martín Domínguez	22	180	74	R	B	CF	["CF"]	Deportivo Alavés	2025	72	33	73	71	84	78	73	78	76	79	70	71	66	72	79	74	69	70	68	68	77	77	73	66	50	67
Hugo Novoa Ramos	21	182	69	R	B	SM	["SM","SB","WB"]	Deportivo Alavés	2029	74	54	72	71	91	86	73	85	78	85	66	67	65	68	77	71	70	61	62	71	76	78	73	63	50	68
Enrique García Martínez	35	186	79	R	B	CF	["CF"]	Deportivo Alavés	2025	81	48	81	71	66	66	78	66	79	68	78	79	65	71	80	79	78	68	62	80	82	79	78	72	50	77
Jon Guridi Aldalur	29	179	70	L	B	AM	["AM","CM","DM"]	Deportivo Alavés	2026	75	63	73	71	67	71	76	74	81	74	81	74	73	62	77	68	70	61	62	61	66	80	76	65	50	71
Juan Diego Molina Martínez	31	178	71	R	B	WF	["WF","SM","CF","AM","SS"]	Deportivo Alavés	2027	78	52	78	77	76	78	75	81	79	78	76	77	73	75	82	79	74	71	71	71	80	79	75	73	50	76
Luka Romero Bezzana	20	165	64	L	B	WF	["WF","SM"]	Deportivo Alavés	2025	73	55	78	75	79	85	73	87	78	79	76	75	72	74	71	76	69	66	62	61	66	78	73	75	50	74
Abderrahman Rebbach	26	176	72	R	B	WF	["WF","SM","AM"]	Deportivo Alavés	2028	70	41	76	71	76	74	68	72	78	77	75	77	74	78	79	81	68	61	62	65	75	77	68	71	50	71
Moussa Diarra	24	185	73	L	B	SB	["SB","CBT"]	Deportivo Alavés	2028	68	73	75	78	68	73	77	70	69	68	75	70	65	63	61	68	61	61	62	72	78	70	75	78	50	67
Carlos Nahuel Benavidez Protesoni	26	185	77	R	B	DM	["DM","CM"]	Deportivo Alavés	2026	66	72	74	76	70	74	77	71	73	70	75	71	69	68	61	69	63	61	62	74	78	75	75	79	50	73
Joan Jordán Moreno	30	184	74	R	B	CM	["CM","DM"]	Deportivo Alavés	2025	80	72	78	82	66	66	81	68	81	71	83	82	79	78	79	82	75	84	84	62	67	81	81	82	50	81
Tomás Alage Mendes Mendes	20	179	72	R	B	CM	["CM","DM"]	Deportivo Alavés	2027	69	52	68	71	68	69	70	66	68	66	68	66	62	55	66	68	62	61	62	61	66	69	70	67	50	68
Eneko Ortiz Díaz	21	180	75	L	B	SB	["SB"]	Deportivo Alavés	2025	65	60	68	74	74	80	68	76	66	68	67	65	64	62	61	68	60	61	62	66	74	68	68	73	50	66
Adrián Hernández Hernández	22	190	80	R	B	CBT	["CBT"]	Deportivo Alavés	2026	47	66	73	71	66	66	63	62	65	64	65	64	58	50	61	68	56	61	62	65	69	65	47	63	50	56
Julen Lartitegi Ugarte	21	184	76	R	B	WF	["WF","SM"]	Deportivo Alavés	2025	61	35	66	71	77	76	63	69	65	69	63	63	61	64	65	68	58	65	62	61	66	65	57	63	50	64
Joan García Pons	23	191	79	R	B	GK	["GK"]	Espanyol	2028	31	80	79	71	62	62	81	67	58	55	61	68	66	68	30	79	43	61	49	55	76	65	50	74	81	71
Sergi Gómez Solà	32	185	80	R	B	CBT	["CBT"]	Espanyol	2025	62	78	79	71	74	68	78	64	69	68	75	70	66	59	61	68	62	61	62	78	82	73	67	73	50	75
Marash Kumbulla	24	191	78	R	B	CBT	["CBT"]	Espanyol	2025	57	79	79	72	66	66	79	64	68	64	71	68	63	57	61	68	61	61	62	82	84	71	64	76	50	75
Fernando Calero Villa	29	183	71	R	B	CBT	["CBT","DM"]	Espanyol	2026	67	74	77	71	67	69	78	71	72	67	76	71	72	65	61	68	62	61	66	78	81	74	78	73	50	71
Leandro Daniel Cabrera Sasía	33	190	82	L	B	CBT	["CBT","SB"]	Espanyol	2025	67	75	85	78	66	66	79	62	65	61	68	73	68	74	61	79	59	61	62	81	85	65	79	80	50	69
Javier Puado Díaz	26	177	69	R	B	CF	["CF","SM","WF"]	Espanyol	2025	81	52	78	84	86	85	80	85	80	83	79	79	72	76	82	79	75	61	66	79	88	80	80	78	50	76
Eduardo Expósito Jaén	28	178	68	R	B	CM	["CM","DM","AM"]	Espanyol	2027	78	73	74	78	69	71	78	75	79	74	79	79	77	76	78	79	76	71	79	68	72	79	78	78	50	78
Alejo Véliz	21	186	77	R	B	CF	["CF"]	Espanyol	2025	79	35	79	76	77	75	78	71	76	75	72	74	61	68	79	79	73	64	62	83	90	78	78	79	50	76
Pol Lozano Vizuete	25	177	62	R	B	DM	["DM","CM"]	Espanyol	2027	73	71	74	83	74	70	76	74	74	71	76	76	76	76	63	77	67	64	68	63	68	76	76	81	50	75
Pere Milla Peña	32	184	72	L	B	CF	["CF","SM","SB","WB"]	Espanyol	2027	78	54	68	83	76	78	77	78	78	76	77	77	75	77	78	79	74	72	73	78	80	78	77	76	50	74
Álvaro Tejero Sacristán	28	174	69	R	B	SB	["SB","SM","WB"]	Espanyol	2025	74	67	75	88	83	83	73	83	77	79	77	76	76	77	71	76	70	78	77	65	75	77	73	79	50	74
Fernando Pacheco Flores	32	186	81	L	B	GK	["GK"]	Espanyol	2026	31	77	80	71	62	62	78	71	58	55	61	65	63	65	37	73	43	61	49	55	75	65	51	73	77	70
Brian Oliván Herrero	30	177	73	L	B	SB	["SB"]	Espanyol	2025	72	69	73	85	81	81	73	76	75	76	78	74	75	74	66	70	68	70	78	68	79	78	73	85	50	76
José Gragera Amado	24	186	78	R	B	DM	["DM","CM","CBT"]	Espanyol	2028	67	75	81	77	70	68	79	69	73	69	76	71	70	67	61	68	64	61	68	77	83	76	78	76	50	72
Walid Cheddira	26	187	80	R	B	CF	["CF"]	Espanyol	2025	78	48	88	76	84	82	76	78	74	78	73	75	71	75	79	79	72	61	62	74	89	75	76	70	50	72
Jofre Carreras Pagès	23	175	70	R	B	WF	["WF","SM"]	Espanyol	2029	76	47	71	72	85	85	75	83	78	82	76	76	74	76	75	77	72	61	74	68	76	78	75	71	50	74
Álvaro Aguado Méndez	28	174	66	R	B	CM	["CM","DM"]	Espanyol	2025	74	67	73	85	77	79	76	79	78	77	79	74	78	73	71	69	72	68	77	63	73	78	76	73	50	71
Salvador Sánchez Ponce	33	175	64	R	B	WF	["WF","SM"]	Espanyol	2025	72	42	74	71	85	85	72	83	74	79	73	71	72	71	71	70	69	68	74	61	66	74	72	66	50	69
Alex Král	26	187	80	R	B	DM	["DM","CM"]	Espanyol	2025	76	74	80	83	79	76	78	77	80	79	78	80	75	77	73	82	76	62	71	77	85	80	78	82	50	78
Carlos Romero Serrano	23	180	70	L	B	SB	["SB","SM","CBT","WB"]	Espanyol	2025	74	68	70	80	79	79	73	79	78	78	78	75	76	75	67	73	67	72	77	68	76	78	73	74	50	73
Omar El Hilali عمر الهلالي	21	183	75	R	B	SB	["SB","CBT"]	Espanyol	2027	67	73	76	79	81	84	76	81	73	76	74	69	73	67	61	68	62	61	69	74	85	74	76	79	50	72
Irvin Cardona	27	185	76	R	B	CF	["CF","SM","WF"]	Espanyol	2025	77	36	75	74	91	79	76	76	77	84	76	77	69	75	78	80	76	67	73	78	85	78	76	69	50	72
José Luis Català Vázquez	20	188	76	R	B	CBT	["CBT"]	Espanyol	2026	53	69	68	71	70	68	70	64	65	66	70	68	63	55	61	68	59	61	62	68	72	66	57	69	50	65
Antoniu Roca Vives	22	178	67	R	B	WF	["WF","SM"]	Espanyol	2026	70	47	68	73	85	87	70	86	72	78	71	67	69	67	69	68	63	61	65	64	74	72	70	72	50	70
Omar Sadik عمر صديق	20	185	80	L	B	CF	["CF"]	Espanyol	2027	70	34	69	71	77	68	68	69	68	71	70	68	61	60	71	68	64	61	62	71	73	70	68	67	50	65
Ángel Fortuño Viñas	23	183	77	R	B	GK	["GK"]	Espanyol	2027	31	71	74	71	62	62	72	61	58	55	61	64	62	64	32	69	43	61	49	55	68	65	45	63	71	64
